Lineage,Earliest date
B.1.110,2020-03-02
B.1.110.1,2020-03-18
B.1.110.2,2020-04-03
B.1.110.3,2020-03-15
B.1.111,2020-03-07
B.1.112,2020-04-06
B.1.113,2020-05-07
B.1.115,2020-03-17
B.1.116,2020-03-29
B.1.117,2020-03-30
B.1.118,2020-03-09
B.1.119,2020-03-12
B.1.120,2020-03-27
B.1.124,2020-03-19
B.1.126,2020-05-05
B.1.127,2020-10-26
B.1.128,2020-03-09
B.1.131,2020-05-27
B.1.134,2020-04-03
B.1.137,2020-04-06
B.1.139,2020-03-26
B.1.140,2020-03-14
B.1.142,2020-03-12
B.1.143,2020-03-28
B.1.145,2020-04-21
B.1.146,2020-06-23
B.1.147,2020-03-04
B.1.149,2020-03-31
B.1.151,2020-03-10
B.1.153,2020-03-11
B.1.157,2020-03-03
B.1.158,2020-03-13
B.1.159,2020-03-17
B.1.160,2020-02-02
B.1.160.7,2020-10-03
B.1.160.8,2020-10-05
B.1.160.9,2020-10-19
B.1.160.10,2020-08-27
B.1.160.11,2020-10-08
B.1.160.12,2020-09-15
B.1.160.13,2020-09-18
B.1.160.14,2020-09-01
B.1.160.15,2020-09-30
B.1.160.16,2020-08-28
AB.1,2020-12-01
B.1.160.17,2020-11-09
B.1.160.18,2020-11-10
B.1.160.19,2020-11-24
B.1.160.20,2020-10-12
B.1.160.21,2020-11-24
B.1.160.22,2020-10-07
B.1.160.23,2020-09-07
B.1.160.24,2020-11-23
B.1.160.25,2020-10-16
B.1.160.26,2020-09-25
B.1.160.27,2021-01-05
B.1.160.28,2020-09-05
B.1.160.29,2020-10-26
B.1.160.30,2020-08-17
B.1.160.31,2020-10-08
B.1.160.32,2020-08-25
B.1.160.33,2020-10-26
B.1.161,2020-03-27
B.1.162,2020-03-15
B.1.163,2020-03-16
B.1.164,2020-04-24
B.1.165,2020-05-01
B.1.166,2020-03-04
B.1.167,2020-03-27
B.1.168,2020-04-23
B.1.169,2020-03-31
B.1.170,2020-03-19
B.1.173,2020-05-16
B.1.177,2020-02-02
B.1.177.2,2020-09-03
B.1.177.3,2020-08-24
B.1.177.4,2020-06-03
B.1.177.5,2020-08-29
B.1.177.6,2020-07-07
B.1.177.7,2020-03-21
B.1.177.8,2020-09-03
B.1.177.9,2020-09-02
B.1.177.10,2020-09-02
B.1.177.11,2020-04-04
B.1.177.12,2020-03-30
B.1.177.14,2020-07-27
B.1.177.15,2020-09-01
AA.1,2020-08-11
AA.2,2020-11-14
AA.3,2020-10-21
AA.4,2020-10-22
AA.5,2020-11-11
AA.6,2020-10-13
AA.7,2020-11-04
AA.8,2020-11-25
B.1.177.16,2020-09-10
B.1.177.17,2020-08-02
B.1.177.18,2020-09-14
B.1.177.19,2020-09-03
B.1.177.20,2020-03-21
B.1.177.21,2020-08-24
B.1.177.23,2020-04-08
B.1.177.24,2020-08-17
B.1.177.25,2020-10-27
B.1.177.26,2020-10-03
B.1.177.27,2020-10-12
B.1.177.28,2020-10-18
B.1.177.29,2020-09-07
B.1.177.30,2020-10-23
B.1.177.31,2020-03-26
B.1.177.32,2020-09-29
B.1.177.33,2020-09-01
B.1.177.34,2020-12-06
B.1.177.35,2020-09-25
B.1.177.36,2020-09-14
B.1.177.37,2020-11-16
B.1.177.38,2020-09-11
B.1.177.39,2020-09-02
B.1.177.40,2020-08-15
B.1.177.41,2020-09-20
B.1.177.42,2020-10-26
B.1.177.43,2020-08-17
B.1.177.44,2020-08-07
B.1.177.45,2020-09-12
B.1.177.46,2020-10-29
B.1.177.47,2020-10-27
B.1.177.48,2020-09-24
B.1.177.49,2020-09-11
B.1.177.50,2020-08-17
Z.1,2020-06-02
