sample_id,frequency_X,frequency_Y,lineage_X,lineage_Y,country,time,X_series,frequency_X+Y
hCoV-19/USA/CA-HLX-STM-6U7SZBMCG/2022,0.000346502,0.154094608,BA.2.75.1,BA.5.2,USA,2022-07-15_2022-08-14,Others,0.15444111
hCoV-19/USA/MI-UM-CL22-713271/2022,0.11842766,0.033484372,BA.5.6,BA.4.6,USA,2022-07-11_2022-08-10,Others,0.151912032
hCoV-19/India/TG-CCMB-CIA8255/2021,0.043079182,0.10751438,AY.112,B.1.1.7,India,2021-03-31_2021-04-30,Others,0.150593563
hCoV-19/Germany/BW-ChVir-LB-221209-5534/2022,0.000887404,0.149553688,CB.1,BA.5.2,Germany,2022-10-30_2022-11-29,Others,0.150441092
hCoV-19/Mexico/SIN_CIAD-CLN_L0542/2022,0.001267748,0.141227181,BE.1.1,BA.2,Mexico,2022-05-18_2022-06-17,Others,0.142494929
hCoV-19/India/AP-CCMB-CIA8150/2021,0.141883304,0.00011554,AY.112,B.1.1.318,India,2021-07-14_2021-08-13,Others,0.141998845
hCoV-19/Slovakia/UVZ_PL56_H11_28525/2021,0.001541426,0.14026975,AY.39,AY.9.2,Slovakia,2021-09-11_2021-10-11,Others,0.141811175
hCoV-19/USA/TX-HMH-118435/2022,0.001447325,0.140073128,BQ.1.1.17,BA.5.2,USA,2022-10-19_2022-11-18,Others,0.141520453
hCoV-19/Norway/1881/2021,0.012405238,0.126119917,B.1.177.82,B.1.1.7,Norway,2020-12-27_2021-01-26,Others,0.138525155
hCoV-19/USA/NY-CDC-QDX36112149/2022,9.53E-05,0.137813873,BA.1.1.7,BA.2.12.1,USA,2022-03-19_2022-04-18,Others,0.137909216
hCoV-19/India/PB-NCDC-310964/2021,0.029310978,0.10751438,AY.103,B.1.1.7,India,2021-03-31_2021-04-30,Others,0.136825358
hCoV-19/India/UP-IGIB-712334/2021,0.133278341,0.00312279,B.1.617.1,AY.30,India,2021-04-02_2021-05-02,Others,0.136401131
hCoV-19/USA/PA-CDC-ASC210495777/2021,0.009227608,0.126647716,AY.75,AY.25.1,USA,2021-09-25_2021-10-25,Others,0.135875323
hCoV-19/USA/NY-UB-KHL-00404/2021,0.018708041,0.114213694,AY.75,AY.25.1,USA,2021-08-15_2021-09-14,Others,0.132921735
hCoV-19/India/MH-NCDC-150911/2021,0.010345587,0.121725732,B.1.617.3,B.1.1.7,India,2021-02-03_2021-03-05,Others,0.132071319
hCoV-19/Bangladesh/icddrb-G060/2022,0.018518519,0.111111111,BM.1.1,BJ.1,Bangladesh,2022-08-21_2022-09-20,Others,0.12962963
hCoV-19/USA/CA-CDPH-7000015545/2022,0.09929445,0.030013688,BA.5.5,BA.2,USA,2022-06-12_2022-07-12,Others,0.129308138
hCoV-19/South Africa/NHLS-UCT-GS-BJ80/2022,0.002939255,0.12540823,BE.1.1,BA.2,South Africa,2022-04-10_2022-05-10,Others,0.128347485
hCoV-19/USA/TX-HMH-MCoV-50396/2021,0.012742957,0.109030356,AY.39,B.1.1.7,USA,2021-06-17_2021-07-17,Others,0.121773313
hCoV-19/USA/FL-CDC-FG-016740/2021,0.121476839,4.38E-05,B.1.429,P.1.1,USA,2021-02-22_2021-03-24,Others,0.121520605
hCoV-19/Austria/CeMM14261/2021,0.039173789,0.07977208,AY.42,AY.9.2,Austria,2021-06-28_2021-07-28,Others,0.118945869
hCoV-19/USA/NY-WMC-4761/2022,0.103141896,0.014739958,BA.5.6,BA.2,USA,2022-06-23_2022-07-23,Others,0.117881853
hCoV-19/USA/UT-UPHL-220716517619/2022,0.003379731,0.11309312,BA.5,BA.2,USA,2022-05-20_2022-06-19,Others,0.116472851
hCoV-19/USA/MT-FYR-1221/2021,0.078215675,0.037756237,BA.1.1,AY.39,USA,2021-11-16_2021-12-16,Others,0.115971912
hCoV-19/India/KA-RFNB-3500/2021,0.106783626,0.00871345,AY.112,BA.1.1.7,India,2021-11-28_2021-12-28,Others,0.115497076
hCoV-19/Sweden/PEP045323/2022,0.004043546,0.111041991,BA.5,BA.2.9,Sweden,2022-05-27_2022-06-26,Others,0.115085537
hCoV-19/USA/NY-CDC-LC0288841/2021,3.13E-06,0.115013016,AY.66,AY.25.1,USA,2021-08-17_2021-09-16,Others,0.115016144
hCoV-19/France/GES-HMN-22022040862/2022,0.112157534,0.001579148,AY.43,B.1.1.529,France,2021-12-11_2022-01-10,Others,0.113736682
hCoV-19/Belgium/ULG-19233/2021,0.052375862,0.061121368,AY.4,AY.9.2,Belgium,2021-08-04_2021-09-03,Others,0.113497231
hCoV-19/India/GJ-GBRC9059/2022,0.102325581,0.008637874,BN.1.3,BJ.1,India,2022-08-21_2022-09-20,Others,0.110963455
hCoV-19/South Africa/CERI-KRISP-K045234/2022,0.079545455,0.03125,BA.5.2,BA.2,South Africa,2022-06-15_2022-07-15,Others,0.110795455
hCoV-19/USA/CA-CDPH-500002818/2021,0.067231938,0.042501325,AY.14,AY.25.1,USA,2021-06-15_2021-07-15,Others,0.109733263
hCoV-19/USA/NC-CORVASEQ-CLT-000706/2021,0.064282821,0.044809607,AY.25.1,B.1.1.7,USA,2021-06-27_2021-07-27,Others,0.109092429
hCoV-19/USA/FL-BPHL-8654/2021,0.026660899,0.079806452,AY.75,AY.25.1,USA,2021-07-07_2021-08-06,Others,0.106467351
hCoV-19/Slovakia/BB_22_00001387/2022,0.104893702,0.001002808,BA.1.1,BA.2.37,Slovakia,2022-03-11_2022-04-10,Others,0.10589651
hCoV-19/USA/NY-PRL-2021_03_01_01O22/2021,0.008483648,0.096668033,B.1.637,B.1.1.7,USA,2021-01-29_2021-02-28,Others,0.105151681
hCoV-19/USA/TX-HMH-111055/2022,0.097411695,0.00759531,BA.5.5,BA.2,USA,2022-07-05_2022-08-04,Others,0.105007005
hCoV-19/Germany/TH-RKI-I-1087714/2022,0.000850425,0.103251626,CB.1,BA.5.2,Germany,2022-11-17_2022-12-17,Others,0.104102051
hCoV-19/USA/NY-PRL-2021_02_26_00A16/2021,0.026501627,0.074120674,B.1.526,B.1.1.7,USA,2021-01-24_2021-02-23,Others,0.100622301
hCoV-19/Sweden/1596269863/2022,0.036083547,0.064534036,BA.1.13,BA.2.9,Sweden,2021-12-24_2022-01-23,Others,0.100617584
hCoV-19/India/MH-RFIP13582/2022,0.000813339,0.099633998,BF.5,BA.2,India,2022-06-01_2022-07-01,Others,0.100447336
hCoV-19/Germany/SH-ChVir27802/2022,0.099818065,2.74E-05,BA.1.1,BA.2.16,Germany,2022-03-13_2022-04-12,Others,0.099845424
hCoV-19/USA/AZ-ASU28956/2021,0.000183458,0.099014617,AY.111,BA.1.1,USA,2021-11-17_2021-12-17,Others,0.099198075
hCoV-19/France/ARA-GENBIO-14291871454/2022,3.21E-05,0.098405365,BF.11,BA.2,France,2022-06-06_2022-07-06,Others,0.09843745
hCoV-19/USA/TX-PHH-22V-187G0397/2022,0.004833416,0.093307405,BE.1.1,BA.4.1,USA,2022-06-06_2022-07-06,Others,0.098140821
hCoV-19/USA/CA-HLX-STM-F8FN4P8AW/2022,0.088545239,0.002275987,BA.4.6,BA.5.1.12,USA,2022-09-07_2022-10-07,Others,0.090821226
hCoV-19/USA/MN-CDC-IBX559506350981/2021,0.090521269,0.000144857,B.1.429,B.1.1.368,USA,2021-03-06_2021-04-05,Others,0.090666126
hCoV-19/Canada/ON-PHL-22-28690/2022,0.012931302,0.073857631,BE.1.1,BA.4.1,Canada,2022-06-05_2022-07-05,Others,0.086788934
hCoV-19/England/LSPA-3EB14CF/2022,0.01667669,0.069921821,BE.1.1,BA.2,United Kingdom,2022-06-01_2022-07-01,Others,0.08659851
hCoV-19/Costa Rica/INC-7882-773175/2022,0.019011407,0.066539924,BA.4.6,BA.5.2,Costa Rica,2022-09-27_2022-10-27,Others,0.085551331
hCoV-19/Chile/NB-378/2022,0.063829787,0.021276596,BF.31.1,BQ.1,Chile,2022-11-28_2022-12-28,Others,0.085106383
hCoV-19/South Africa/CERI-KRISP-K042822/2022,0.003891051,0.079616881,BA.5.5,BA.2,South Africa,2022-04-20_2022-05-20,Others,0.083507932
hCoV-19/USA/NY-PRL-2021_03_22_01F02/2021,0.064031866,0.018917845,B.1.526,B.1.637,USA,2021-02-18_2021-03-20,Others,0.082949711
hCoV-19/USA/NY-PRL-2021_02_22_00D03/2021,0.023024965,0.059559126,B.1.526,B.1.1.7,USA,2021-01-20_2021-02-19,Others,0.08258409
hCoV-19/USA/UT-UPHL-220715111283/2022,0.072193986,0.009218573,BA.5.2.1,BA.2.3.1,USA,2022-05-26_2022-06-25,Others,0.081412558
hCoV-19/Australia/VIC74010/2022,0.046847273,0.032414527,BN.1.3,BF.5,Australia,2022-09-25_2022-10-25,Others,0.079261801
hCoV-19/India/GJ-INSACOG-GBRC8662/2022,0.003308519,0.073683485,BA.5.2.9,BA.2,India,2022-06-16_2022-07-16,Others,0.076992004
hCoV-19/Ireland/D-Enfer-051222003_A1/2022,0.000410509,0.075944171,BA.2.75.1,BQ.1.1.6,Ireland,2022-11-05_2022-12-05,Others,0.07635468
